id x y z
336 1250 907.444 1772.72
337 1250 911.286 1772.01
338 1250 915.128 1771.3
339 1250 918.969 1770.59
340 1250 922.811 1769.88
341 1250 926.653 1769.17
342 1250 930.493 1768.46
343 1250 934.177 1767.78
344 1250 937.636 1767.14
345 1250 940.91 1766.54
346 1250 944.038 1765.96
347 1250 947.056 1765.4
348 1252.86 950 1764.98
349 1255.48 950 1765.1
350 1257.9 950 1765.21
351 1260.15 950 1765.3
352 1262.25 950 1765.39
353 1264.22 950 1765.48
354 1266.08 950 1765.56
355 1267.87 950 1765.64
356 1269.6 950 1765.71
357 1271.28 950 1765.79
358 1272.94 950 1765.86
359 1274.6 950 1765.93
360 1276.26 950 1766
361 1277.94 950 1766.07
362 1279.64 950 1766.15
363 1281.39 950 1766.22
364 1283.19 950 1766.3
365 1285.05 950 1766.38
366 1286.99 950 1766.47
367 1289.03 950 1766.55
368 1291.17 950 1766.65
369 1293.44 950 1766.74
370 1295.86 950 1766.85
371 1298.44 950 1766.96
372 1301.21 950 1767.08
373 1304.19 950 1767.21
374 1307.4 950 1767.35
375 1310.88 950 1767.5
376 1314.65 950 1767.66
377 1318.58 950 1767.82
378 1322.51 950 1767.96
379 1326.43 950 1768.06
380 1330.36 950 1768.14
381 1334.29 950 1768.22
382 1338.22 950 1768.3
383 1342.14 950 1768.38
384 1346.07 950 1768.46
385 1350 853.831 1788.27
386 1350 857.661 1787.4
387 1350 861.489 1786.52
388 1350 865.313 1785.63
389 1350 869.137 1784.73
390 1350 872.961 1783.84
391 1350 876.785 1782.94
392 1350 880.611 1782.05
393 1350 884.443 1781.19
394 1350 888.289 1780.4
395 1350 892.141 1779.63
396 1350 895.994 1778.87
397 1350 899.847 1778.1
398 1350 903.699 1777.34
399 1350 907.552 1776.58
400 1350 911.405 1775.81
401 1350 915.257 1775.05
402 1350 919.11 1774.29
403 1350 922.966 1773.54
404 1350 926.826 1772.82
405 1350 930.688 1772.1
406 1350 934.551 1771.39
407 1350 938.413 1770.68
408 1350 942.275 1769.96
409 1350 946.138 1769.25
410 1253.9 850 1775.23
411 1257.79 850 1775.46
412 1261.69 850 1775.68
413 1265.59 850 1775.9
414 1269.49 850 1776.11
415 1273.34 850 1776.33
416 1277.02 850 1776.53
417 1280.54 850 1776.72
418 1283.95 850 1776.88
419 1287.27 850 1777.02
420 1290.55 850 1777.16
421 1293.82 850 1777.3
422 1297.1 850 1777.44
423 1300.43 850 1777.58
424 1303.84 850 1777.72
425 1307.37 850 1777.87
426 1311.05 850 1778.03
427 1314.9 850 1778.19
428 1318.8 850 1778.36
429 1322.7 850 1778.53
430 1326.6 850 1778.71
431 1330.5 850 1778.89
432 1334.4 850 1779.07
433 1338.3 850 1779.26
434 1342.2 850 1779.44
435 1346.1 850 1779.63
436 1250 853.811 1774.15
437 1250 857.623 1773.31
438 1250 861.434 1772.48
439 1250 865.246 1771.64
440 1250 869.057 1770.8
441 1250 872.869 1769.96
442 1250 876.68 1769.13
443 1250 880.496 1768.31
444 1250 884.323 1767.55
445 1250 888.158 1766.82
446 1250 891.994 1766.11
447 1250 895.828 1765.39
448 1250 899.663 1764.66
449 1250 903.498 1763.94
450 1250 907.333 1763.22
451 1250 911.168 1762.49
452 1250 915.002 1761.77
453 1250 918.837 1761.05
454 1250 922.672 1760.33
455 1250 926.461 1759.61
456 1250 930.022 1758.94
457 1250 933.348 1758.31
458 1250 936.459 1757.73
459 1250 939.39 1757.18
460 1250 942.178 1756.65
461 1250 944.854 1756.15
462 1250 947.451 1755.66
463 1252.48 950 1755.3
464 1254.72 950 1755.4
465 1256.74 950 1755.5
466 1258.56 950 1755.59
467 1260.22 950 1755.67
468 1261.72 950 1755.74
469 1263.09 950 1755.81
470 1264.33 950 1755.87
471 1265.47 950 1755.92
472 1266.52 950 1755.98
473 1267.48 950 1756.02
474 1268.37 950 1756.07
475 1269.2 950 1756.11
476 1269.99 950 1756.14
477 1270.73 950 1756.18
478 1271.44 950 1756.21
479 1272.13 950 1756.25
480 1272.8 950 1756.28
481 1273.46 950 1756.31
482 1274.11 950 1756.34
483 1274.75 950 1756.38
484 1275.4 950 1756.41
485 1276.05 950 1756.44
486 1276.71 950 1756.47
487 1277.38 950 1756.5
488 1278.06 950 1756.54
489 1278.77 950 1756.57
490 1279.51 950 1756.61
491 1280.27 950 1756.64
492 1281.07 950 1756.68
493 1281.92 950 1756.72
494 1282.81 950 1756.77
495 1283.76 950 1756.81
496 1284.77 950 1756.86
497 1285.85 950 1756.91
498 1287 950 1756.97
499 1288.25 950 1757.03
500 1289.59 950 1757.1
501 1291.03 950 1757.17
502 1292.6 950 1757.24
503 1294.29 950 1757.33
504 1296.14 950 1757.41
505 1298.14 950 1757.51
506 1300.33 950 1757.61
507 1302.71 950 1757.72
508 1305.31 950 1757.83
509 1308.15 950 1757.95
510 1311.26 950 1758.08
511 1314.67 950 1758.23
512 1318.4 950 1758.38
513 1322.35 950 1758.52
514 1326.3 950 1758.62
515 1330.25 950 1758.7
516 1334.2 950 1758.78
517 1338.15 950 1758.86
518 1342.1 950 1758.93
519 1346.05 950 1759.01
520 1350 853.826 1778.92
521 1350 857.65 1778.02
522 1350 861.473 1777.11
523 1350 865.295 1776.21
524 1350 869.118 1775.3
525 1350 872.941 1774.39
526 1350 876.764 1773.49
527 1350 880.588 1772.59
528 1350 884.42 1771.72
529 1350 888.266 1770.92
530 1350 892.12 1770.16
531 1350 895.974 1769.4
532 1350 899.828 1768.63
533 1350 903.682 1767.87
534 1350 907.536 1767.11
535 1350 911.39 1766.35
536 1350 915.244 1765.58
537 1350 919.098 1764.82
538 1350 922.956 1764.08
539 1350 926.817 1763.35
540 1350 930.68 1762.64
541 1350 934.544 1761.93
542 1350 938.408 1761.22
543 1350 942.272 1760.51
544 1350 946.136 1759.8
545 1253.96 850 1734.01
546 1257.9 850 1734.26
547 1261.55 850 1734.5
548 1264.84 850 1734.71
549 1267.8 850 1734.9
550 1270.47 850 1735.07
551 1272.88 850 1735.22
552 1275.06 850 1735.35
553 1277.04 850 1735.46
554 1278.84 850 1735.56
555 1280.48 850 1735.64
556 1281.98 850 1735.72
557 1283.35 850 1735.79
558 1284.63 850 1735.85
559 1285.81 850 1735.91
560 1286.92 850 1735.97
561 1287.97 850 1736.02
562 1288.99 850 1736.07
563 1289.97 850 1736.12
564 1290.93 850 1736.17
565 1291.9 850 1736.21
566 1292.86 850 1736.26
567 1293.83 850 1736.31
568 1294.81 850 1736.36
569 1295.8 850 1736.4
570 1296.79 850 1736.45
571 1297.82 850 1736.5
572 1298.89 850 1736.55
573 1300.01 850 1736.6
574 1301.21 850 1736.66
575 1302.49 850 1736.72
576 1303.87 850 1736.79
577 1305.38 850 1736.86
578 1307.01 850 1736.94
579 1308.76 850 1737.02
580 1310.67 850 1737.11
581 1312.74 850 1737.21
582 1315.01 850 1737.32
583 1317.5 850 1737.44
584 1320.23 850 1737.57
585 1323.23 850 1737.71
586 1326.55 850 1737.86
587 1330.21 850 1738.03
588 1334.16 850 1738.21
589 1338.12 850 1738.39
590 1342.08 850 1738.57
591 1346.04 850 1738.75
592 1250 853.848 1733.04
593 1250 857.695 1732.33
594 1250 861.544 1731.62
595 1250 865.393 1730.92
596 1250 869.243 1730.22
597 1250 873.092 1729.51
598 1250 876.941 1728.8
599 1250 880.787 1728.08
600 1250 884.633 1727.36
601 1250 888.478 1726.63
602 1250 892.323 1725.9
603 1250 896.168 1725.18
604 1250 900.013 1724.45
605 1250 903.858 1723.72
606 1250 907.703 1723
607 1250 911.549 1722.27
608 1250 915.394 1721.54
609 1250 919.239 1720.82
610 1250 923.084 1720.09
611 1250 926.929 1719.36
612 1250 930.774 1718.64
613 1250 934.619 1717.91
614 1250 938.465 1717.18
615 1250 942.31 1716.46
616 1250 946.155 1715.73
617 1253.85 950 1715.21
618 1257.71 950 1715.41
619 1261.53 950 1715.6
620 1265.23 950 1715.79
621 1268.82 950 1715.96
622 1272.34 950 1716.14
623 1275.78 950 1716.3
624 1279.16 950 1716.46
625 1282.52 950 1716.61
626 1285.88 950 1716.76
627 1289.28 950 1716.91
628 1292.73 950 1717.07
629 1296.27 950 1717.23
630 1299.93 950 1717.4
631 1303.73 950 1717.57
632 1307.59 950 1717.74
633 1311.44 950 1717.92
634 1315.3 950 1718.09
635 1319.15 950 1718.26
636 1323.01 950 1718.42
637 1326.86 950 1718.56
638 1330.72 950 1718.7
639 1334.57 950 1718.84
640 1338.43 950 1718.98
641 1342.29 950 1719.11
642 1346.14 950 1719.24
643 1350 853.849 1738.19
644 1350 857.697 1737.45
645 1350 861.546 1736.71
646 1350 865.394 1735.97
647 1350 869.243 1735.23
648 1350 873.091 1734.48
649 1350 876.934 1733.72
650 1350 880.773 1732.92
651 1350 884.61 1732.13
652 1350 888.448 1731.33
653 1350 892.287 1730.54
654 1350 896.13 1729.77
655 1350 899.978 1729.03
656 1350 903.826 1728.28
657 1350 907.675 1727.54
658 1350 911.524 1726.8
659 1350 915.372 1726.06
660 1350 919.221 1725.32
661 1350 923.07 1724.58
662 1350 926.918 1723.84
663 1350 930.767 1723.1
664 1350 934.615 1722.35
665 1350 938.464 1721.61
666 1350 942.313 1720.87
667 1350 946.158 1720.11
668 1250 850 1703.75
669 1250 850 1707.5
670 1250 850 1711.25
671 1250 850 1715
672 1250 850 1718.75
673 1250 850 1722.5
674 1250 850 1726.26
675 1250 850 1730.01
676 1250 950 1703.75
677 1250 950 1707.5
678 1250 950 1711.25
679 1250 854 1700
680 1250 858 1700
681 1250 862 1700
682 1250 866 1700
683 1250 870 1700
684 1250 874 1700
685 1250 878 1700
686 1250 882 1700
687 1250 886 1700
688 1250 890 1700
689 1250 894 1700
690 1250 898 1700
691 1250 902 1700
692 1250 906 1700
693 1250 910 1700
694 1250 914 1700
695 1250 918 1700
696 1250 922 1700
697 1250 926 1700
698 1250 930 1700
699 1250 934 1700
700 1250 938 1700
701 1250 942 1700
702 1250 946 1700
703 1350 850 1703.89
704 1350 850 1707.79
705 1350 850 1711.68
706 1350 850 1715.57
707 1350 850 1719.47
708 1350 850 1723.36
709 1350 850 1727.25
710 1350 850 1731.15
711 1350 850 1735.04
712 1254 850 1700
713 1258 850 1700
714 1262 850 1700
715 1266 850 1700
716 1270 850 1700
717 1274 850 1700
718 1278 850 1700
719 1282 850 1700
720 1286 850 1700
721 1290 850 1700
722 1294 850 1700
723 1298 850 1700
724 1302 850 1700
725 1306 850 1700
726 1310 850 1700
727 1314 850 1700
728 1318 850 1700
729 1322 850 1700
730 1326 850 1700
731 1330 850 1700
732 1334 850 1700
733 1338 850 1700
734 1342 850 1700
735 1346 850 1700
736 1350 950 1703.87
737 1350 950 1707.74
738 1350 950 1711.6
739 1350 950 1715.47
740 1254 950 1700
741 1258 950 1700
742 1262 950 1700
743 1266 950 1700
744 1270 950 1700
745 1274 950 1700
746 1278 950 1700
747 1282 950 1700
748 1286 950 1700
749 1290 950 1700
750 1294 950 1700
751 1298 950 1700
752 1302 950 1700
753 1306 950 1700
754 1310 950 1700
755 1314 950 1700
756 1318 950 1700
757 1322 950 1700
758 1326 950 1700
759 1330 950 1700
760 1334 950 1700
761 1338 950 1700
762 1342 950 1700
763 1346 950 1700
764 1350 854 1700
765 1350 858 1700
766 1350 862 1700
767 1350 866 1700
768 1350 870 1700
769 1350 874 1700
770 1350 878 1700
771 1350 882 1700
772 1350 886 1700
773 1350 890 1700
774 1350 894 1700
775 1350 898 1700
776 1350 902 1700
777 1350 906 1700
778 1350 910 1700
779 1350 914 1700
780 1350 918 1700
781 1350 922 1700
782 1350 926 1700
783 1350 930 1700
784 1350 934 1700
785 1350 938 1700
786 1350 942 1700
787 1350 946 1700
788 1250 850 1737.72
789 1250 850 1741.69
790 1250 850 1745.66
791 1250 853.825 1748.81
792 1250 857.649 1747.99
793 1250 861.474 1747.18
794 1250 865.299 1746.36
795 1250 869.124 1745.54
796 1250 872.95 1744.73
797 1250 876.79 1743.99
798 1250 880.644 1743.33
799 1250 884.501 1742.68
800 1250 888.358 1742.04
801 1250 892.216 1741.39
802 1250 896.073 1740.75
803 1250 899.93 1740.1
804 1250 903.788 1739.46
805 1250 907.645 1738.81
806 1250 911.503 1738.17
807 1250 915.36 1737.52
808 1250 919.217 1736.87
809 1250 923.069 1736.2
810 1250 926.905 1735.48
811 1250 930.58 1734.75
812 1250 934.065 1734.05
813 1250 937.399 1733.39
814 1250 940.622 1732.74
815 1250 943.771 1732.11
816 1250 946.884 1731.49
817 1250 950 1718.39
818 1250 950 1721.77
819 1250 950 1725
820 1250 950 1728.02
821 1350 850 1742.89
822 1350 850 1746.84
823 1350 850 1750.79
824 1253.96 850 1749.89
825 1257.84 850 1750.14
826 1261.37 850 1750.38
827 1264.54 850 1750.59
828 1267.4 850 1750.78
829 1269.97 850 1750.96
830 1272.29 850 1751.11
831 1274.39 850 1751.24
832 1276.29 850 1751.35
833 1278 850 1751.44
834 1279.56 850 1751.53
835 1280.98 850 1751.6
836 1282.27 850 1751.67
837 1283.45 850 1751.74
838 1284.53 850 1751.79
839 1285.53 850 1751.85
840 1286.45 850 1751.9
841 1287.31 850 1751.94
842 1288.12 850 1751.99
843 1288.88 850 1752.03
844 1289.61 850 1752.07
845 1290.3 850 1752.1
846 1290.97 850 1752.14
847 1291.61 850 1752.17
848 1292.25 850 1752.21
849 1292.88 850 1752.24
850 1293.5 850 1752.27
851 1294.14 850 1752.31
852 1294.78 850 1752.34
853 1295.44 850 1752.38
854 1296.13 850 1752.42
855 1296.84 850 1752.45
856 1297.59 850 1752.49
857 1298.39 850 1752.54
858 1299.24 850 1752.58
859 1300.15 850 1752.63
860 1301.13 850 1752.68
861 1302.19 850 1752.74
862 1303.34 850 1752.8
863 1304.59 850 1752.87
864 1305.97 850 1752.94
865 1307.47 850 1753.02
866 1309.12 850 1753.11
867 1310.93 850 1753.21
868 1312.93 850 1753.31
869 1315.13 850 1753.43
870 1317.57 850 1753.56
871 1320.26 850 1753.7
872 1323.24 850 1753.83
873 1326.53 850 1753.95
874 1330.19 850 1754.08
875 1334.13 850 1754.21
876 1338.1 850 1754.34
877 1342.07 850 1754.48
878 1346.03 850 1754.61
879 1295.9 850 1745.99
880 1295.88 850 1746.18
881 1295.84 850 1746.37
882 1295.79 850 1746.55
883 1295.72 850 1746.73
884 1295.64 850 1746.9
885 1295.54 850 1747.07
886 1295.43 850 1747.23
887 1295.31 850 1747.38
888 1295.18 850 1747.51
889 1295.04 850 1747.64
890 1294.89 850 1747.76
891 1294.73 850 1747.87
892 1294.56 850 1747.96
893 1294.39 850 1748.04
894 1294.21 850 1748.11
895 1294.03 850 1748.17
896 1293.84 850 1748.21
897 1293.65 850 1748.24
898 1293.46 850 1748.26
899 1295.91 850 1743.37
900 1295.91 850 1743.8
901 1295.91 850 1744.18
902 1295.91 850 1744.52
903 1295.91 850 1744.84
904 1295.91 850 1745.12
905 1295.91 850 1745.37
906 1295.91 850 1745.59
907 1290.95 850 1742.83
908 1291.29 850 1742.84
909 1291.64 850 1742.84
910 1292 850 1742.85
911 1292.37 850 1742.85
912 1292.76 850 1742.86
913 1293.16 850 1742.86
914 1293.58 850 1742.87
915 1294.01 850 1742.87
916 1294.46 850 1742.88
917 1294.93 850 1742.88
918 1295.41 850 1742.89
919 1290.62 850 1745.52
920 1290.62 850 1745.29
921 1290.62 850 1745.04
922 1290.62 850 1744.75
923 1290.62 850 1744.43
924 1290.63 850 1744.11
925 1290.63 850 1743.79
926 1290.63 850 1743.47
927 1290.63 850 1743.15
928 1293.07 850 1748.26
929 1292.88 850 1748.23
930 1292.69 850 1748.2
931 1292.51 850 1748.15
932 1292.32 850 1748.09
933 1292.14 850 1748.01
934 1291.97 850 1747.93
935 1291.8 850 1747.83
936 1291.65 850 1747.72
937 1291.5 850 1747.6
938 1291.35 850 1747.47
939 1291.22 850 1747.32
940 1291.1 850 1747.17
941 1290.99 850 1747.01
942 1290.9 850 1746.85
943 1290.82 850 1746.67
944 1290.75 850 1746.49
945 1290.69 850 1746.31
946 1290.66 850 1746.12
947 1290.63 850 1745.92
948 1350 853.829 1753.89
949 1350 857.658 1753.03
950 1350 861.487 1752.17
951 1350 865.316 1751.31
952 1350 869.145 1750.45
953 1350 872.974 1749.59
954 1350 876.803 1748.73
955 1350 880.632 1747.87
956 1350 884.462 1747.02
957 1350 888.298 1746.19
958 1350 892.148 1745.43
959 1350 896.009 1744.73
960 1350 899.872 1744.04
961 1350 903.734 1743.34
962 1350 907.596 1742.65
963 1350 911.458 1741.95
964 1350 915.321 1741.26
965 1350 919.183 1740.56
966 1350 923.045 1739.86
967 1350 926.904 1739.15
968 1350 930.759 1738.42
969 1350 934.608 1737.65
970 1350 938.454 1736.87
971 1350 942.302 1736.1
972 1350 946.151 1735.34
973 1253.12 950 1731.01
974 1255.98 950 1731.14
975 1258.63 950 1731.26
976 1261.09 950 1731.37
977 1263.39 950 1731.47
978 1265.57 950 1731.56
979 1267.65 950 1731.66
980 1269.65 950 1731.74
981 1271.61 950 1731.83
982 1273.55 950 1731.92
983 1275.43 950 1732
984 1277.25 950 1732.08
985 1279.05 950 1732.16
986 1280.83 950 1732.24
987 1282.62 950 1732.32
988 1284.43 950 1732.41
989 1286.27 950 1732.49
990 1288.16 950 1732.58
991 1290.12 950 1732.67
992 1292.17 950 1732.77
993 1294.32 950 1732.87
994 1296.6 950 1732.98
995 1299.02 950 1733.09
996 1301.61 950 1733.21
997 1304.4 950 1733.34
998 1307.4 950 1733.48
999 1310.65 950 1733.62
1000 1314.19 950 1733.74
1001 1318.04 950 1733.86
1002 1322.03 950 1733.98
1003 1326.02 950 1734.1
1004 1330.02 950 1734.22
1005 1334.02 950 1734.33
1006 1338.01 950 1734.4
1007 1342.01 950 1734.46
1008 1346 950 1734.52
1255 1350 950 1723.15
1256 1350 950 1726.96
1257 1350 950 1730.76
1258 1293.33 850.189 1748.27
1259 1293.4 850.377 1748.28
1260 1293.46 850.566 1748.29
1261 1293.52 850.755 1748.3
1262 1293.59 850.944 1748.3
1340 1295.97 850.191 1745.81
1341 1296.04 850.382 1745.81
1342 1296.1 850.573 1745.82
1343 1296.16 850.764 1745.83
1344 1296.22 850.956 1745.84
1472 1296.07 850.483 1742.92
1473 1296.23 850.967 1742.93
1559 1290.74 850.326 1742.84
1560 1290.86 850.686 1742.86
1645 1290.69 850.19 1745.74
1646 1290.76 850.381 1745.75
1647 1290.82 850.571 1745.75
1648 1290.89 850.762 1745.76
1649 1290.95 850.952 1745.77
1773 1250 850 1752.96
1774 1250 850 1756.3
1775 1250 850 1759.63
1776 1250 850 1762.96
1777 1250 853.855 1765.48
1778 1250 857.71 1764.65
1779 1250 861.565 1763.83
1780 1250 865.421 1763.01
1781 1250 869.276 1762.18
1782 1250 873.131 1761.36
1783 1250 876.986 1760.54
1784 1250 880.842 1759.72
1785 1250 884.705 1758.93
1786 1250 888.578 1758.2
1787 1250 892.456 1757.49
1788 1250 896.334 1756.78
1789 1250 900.211 1756.07
1790 1250 904.088 1755.36
1791 1250 907.966 1754.64
1792 1250 911.843 1753.93
1793 1250 915.72 1753.22
1794 1250 919.598 1752.51
1795 1250 923.449 1751.8
1796 1250 927.102 1751.13
1797 1250 930.526 1750.5
1798 1250 933.731 1749.91
1799 1250 936.737 1749.36
1800 1250 939.581 1748.84
1801 1250 942.297 1748.34
1802 1250 944.917 1747.86
1803 1250 947.474 1747.39
1804 1250 950 1733.84
1805 1250 950 1736.66
1806 1250 950 1739.35
1807 1250 950 1741.95
1808 1250 950 1744.47
1809 1350 850 1758
1810 1350 850 1761.26
1811 1350 850 1764.52
1812 1350 850 1767.77
1813 1253.88 850 1766.49
1814 1257.75 850 1766.66
1815 1261.63 850 1766.83
1816 1265.36 850 1766.98
1817 1268.81 850 1767.13
1818 1272 850 1767.26
1819 1274.98 850 1767.38
1820 1277.77 850 1767.5
1821 1280.42 850 1767.61
1822 1282.94 850 1767.71
1823 1285.37 850 1767.82
1824 1287.73 850 1767.91
1825 1290.04 850 1768.01
1826 1292.33 850 1768.11
1827 1294.61 850 1768.21
1828 1296.92 850 1768.33
1829 1299.27 850 1768.46
1830 1301.7 850 1768.61
1831 1304.21 850 1768.77
1832 1306.85 850 1768.95
1833 1309.64 850 1769.13
1834 1312.6 850 1769.32
1835 1315.77 850 1769.53
1836 1319.17 850 1769.74
1837 1322.85 850 1769.94
1838 1326.73 850 1770.11
1839 1330.61 850 1770.27
1840 1334.49 850 1770.42
1841 1338.36 850 1770.57
1842 1342.24 850 1770.73
1843 1346.12 850 1770.88
1844 1350 853.824 1770.15
1845 1350 857.648 1769.27
1846 1350 861.472 1768.38
1847 1350 865.296 1767.5
1848 1350 869.12 1766.62
1849 1350 872.944 1765.73
1850 1350 876.768 1764.85
1851 1350 880.593 1763.98
1852 1350 884.428 1763.14
1853 1350 888.28 1762.39
1854 1350 892.14 1761.69
1855 1350 896.001 1760.98
1856 1350 899.861 1760.28
1857 1350 903.722 1759.57
1858 1350 907.582 1758.86
1859 1350 911.443 1758.16
1860 1350 915.303 1757.45
1861 1350 919.164 1756.75
1862 1350 923.025 1756.04
1863 1350 926.885 1755.34
1864 1350 930.745 1754.62
1865 1350 934.601 1753.9
1866 1350 938.452 1753.14
1867 1350 942.302 1752.38
1868 1350 946.151 1751.61
1869 1279.01 950 1748.18
1870 1279.24 950 1748.19
1871 1279.49 950 1748.2
1872 1279.76 950 1748.21
1873 1280.05 950 1748.23
1874 1280.37 950 1748.24
1875 1280.72 950 1748.26
1876 1281.11 950 1748.27
1877 1281.52 950 1748.29
1878 1281.98 950 1748.31
1879 1282.47 950 1748.33
1880 1283.01 950 1748.35
1881 1283.6 950 1748.38
1882 1284.25 950 1748.41
1883 1284.95 950 1748.44
1884 1285.72 950 1748.47
1885 1286.56 950 1748.5
1886 1287.47 950 1748.54
1887 1288.47 950 1748.59
1888 1289.57 950 1748.63
1889 1290.77 950 1748.68
1890 1292.08 950 1748.74
1891 1293.51 950 1748.8
1892 1295.08 950 1748.87
1893 1296.8 950 1748.94
1894 1298.68 950 1749.02
1895 1300.74 950 1749.11
1896 1303.01 950 1749.2
1897 1305.49 950 1749.31
1898 1308.22 950 1749.43
